video_id	attribute	url
29	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=nsfs00411/size=720_480/affi_id=10278-996/
39	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=sgm060/size=476_306/affi_id=10278-996/
39	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=sgm060/size=560_360/affi_id=10278-996/
39	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=sgm060/size=644_414/affi_id=10278-996/
39	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=sgm060/size=720_480/affi_id=10278-996/
40	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_237zmar144/size=476_306/affi_id=10278-996/
40	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_237zmar144/size=560_360/affi_id=10278-996/
40	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_237zmar144/size=644_414/affi_id=10278-996/
40	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_237zmar144/size=720_480/affi_id=10278-996/
41	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=bjd055/size=476_306/affi_id=10278-996/
41	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=bjd055/size=560_360/affi_id=10278-996/
41	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=bjd055/size=644_414/affi_id=10278-996/
41	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=bjd055/size=720_480/affi_id=10278-996/
42	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=fwtr00023/size=476_306/affi_id=10278-996/
42	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=fwtr00023/size=560_360/affi_id=10278-996/
42	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=fwtr00023/size=644_414/affi_id=10278-996/
42	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=fwtr00023/size=720_480/affi_id=10278-996/
44	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=hmix048/size=476_306/affi_id=10278-996/
44	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=hmix048/size=560_360/affi_id=10278-996/
44	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=hmix048/size=644_414/affi_id=10278-996/
44	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=hmix048/size=720_480/affi_id=10278-996/
45	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=aldn498/size=476_306/affi_id=10278-996/
45	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=aldn498/size=560_360/affi_id=10278-996/
45	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=aldn498/size=644_414/affi_id=10278-996/
45	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=aldn498/size=720_480/affi_id=10278-996/
47	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=aed245/size=476_306/affi_id=10278-996/
47	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=aed245/size=560_360/affi_id=10278-996/
