id	attribute	url	video_id
105	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=48odvhj065/size=476_306/affi_id=10278-996/	43
106	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=48odvhj065/size=560_360/affi_id=10278-996/	43
107	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=48odvhj065/size=644_414/affi_id=10278-996/	43
108	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=48odvhj065/size=720_480/affi_id=10278-996/	43
109	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=hmix048/size=476_306/affi_id=10278-996/	44
110	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=hmix048/size=560_360/affi_id=10278-996/	44
111	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=hmix048/size=644_414/affi_id=10278-996/	44
112	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=hmix048/size=720_480/affi_id=10278-996/	44
113	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=aldn498/size=476_306/affi_id=10278-996/	45
114	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=aldn498/size=560_360/affi_id=10278-996/	45
115	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=aldn498/size=644_414/affi_id=10278-996/	45
116	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=aldn498/size=720_480/affi_id=10278-996/	45
117	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_1133gogo035/size=476_306/affi_id=10278-996/	46
118	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_1133gogo035/size=560_360/affi_id=10278-996/	46
119	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_1133gogo035/size=644_414/affi_id=10278-996/	46
120	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=h_1133gogo035/size=720_480/affi_id=10278-996/	46
121	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=aed245/size=476_306/affi_id=10278-996/	47
122	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=aed245/size=560_360/affi_id=10278-996/	47
123	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=aed245/size=644_414/affi_id=10278-996/	47
124	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=aed245/size=720_480/affi_id=10278-996/	47
125	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=rbk00110/size=476_306/affi_id=10278-996/	48
126	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=rbk00110/size=560_360/affi_id=10278-996/	48
127	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=rbk00110/size=644_414/affi_id=10278-996/	48
128	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=rbk00110/size=720_480/affi_id=10278-996/	48
129	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00302/size=476_306/affi_id=10278-996/	49
130	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00302/size=560_360/affi_id=10278-996/	49
131	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00302/size=644_414/affi_id=10278-996/	49
132	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00302/size=720_480/affi_id=10278-996/	49
133	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00295/size=476_306/affi_id=10278-996/	50
134	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00295/size=560_360/affi_id=10278-996/	50
135	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00295/size=644_414/affi_id=10278-996/	50
136	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00295/size=720_480/affi_id=10278-996/	50
137	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00291/size=476_306/affi_id=10278-996/	51
138	size_560_360	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00291/size=560_360/affi_id=10278-996/	51
139	size_644_414	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00291/size=644_414/affi_id=10278-996/	51
140	size_720_480	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00291/size=720_480/affi_id=10278-996/	51
141	size_476_306	https://www.dmm.co.jp/litevideo/-/part/=/cid=ppbd00290/size=476_306/affi_id=10278-996/	52
