id	code	title	dmm_id	description	release_date	length	label	series_id	maker_id
2867	ATKD-251	ATTACKERS いけない事だと知りながらも、感じてしまう女たち 8時間 part2 - 桜木凛	atkd00251		2017-05-07				102
2868	URE-039	発掘！！新星ねとられコミック作家・あらくれ原作 人妻とNTR下見旅行 忠実実写化！！町内会長と巨乳妻の背徳淫猥の湯！！ 春菜はな	ure00039	町内会長とその妻と一緒に町内会旅行の下見に行く事になった由美子（春菜はな）。会長の奥さんも来ると言う事で、由美子は安心していた。しかし当日、やって来たのは会長一人！戸惑う由美子だったがキャンセル料がかかるとの事で仕方なく行く事になるのだが、いざ宿に到着すると、温泉の心地よさと豪華な夕食に警戒心は解かれて…。すると会長は本性を露わにし、酔った由美子を絶倫チンポで快楽の虜へと引きずり込んで…。  【同人】原作『人妻とNTR下見旅行』はこちら！   【キャンペーン】対象作品をセール期間内に購入したお客様に特別限定映像をプレゼント！  【特典映像プレゼントについて】 こちらは特典映像プレゼント対象商品です。 特典映像は8月上旬を目安にお客様の購入済み商品（動画）に自動で追加されます。追加時に個別の通知はございません。  対象作品の購入点数に応じ、キャンペーン女優の特別限定映像（最大3種類）をプレゼント！ 対象作品を ・1点購入→特典映像1種をランダムでプレゼント ・2点購入→特典映像2種をランダムでプレゼント ・3点購入→特典映像全3種をプレゼント 特典映像はセール期間毎に異なります（全12種類）  【特典映像出演者】 第1弾：白石茉莉奈 第2弾：叶愛 第3弾：綾瀬麻衣子 第4弾：木下凛々子  【セール期間】 2021年6月11日（金）10:00 ～ 2021年7月9日（金）10:00まで  第1弾：2021年6月11日（金）10:00 ～2021年6月18日（金）10:00 第2弾：2021年6月18日（金）10:00 ～2021年6月25日（金）10:00 第3弾：2021年6月25日（金）10:00 ～2021年7月2日（金）10:00 第4弾：2021年7月2日（金）10:00 ～2021年7月9日（金）10:00  【対象作品】 タイトルに【美熟女No.1！Madonna30％OFF第4弾】の表記がついた作品。  【注意事項】 ・2021年6月11日（金）10:00 ～ 2021年7月9日（金）10:00の間に対象作品を購入されたお客様限定のキャンペーンです。 ・全てのセール期間終了後、1ヶ月以上経過しても追加されていない場合はDMMサポートまでお問い合わせください。	2017-04-22				3778
2869	JUY-108	人妻美容師痴●電車 〜終わらない辱めに股間を濡らす私〜 春菜はな	juy00108	かつて痴●に遭った経験から、いつまで経っても電車通勤に慣れないはな。その日もいつも通り電車に乗り込むのだが…。まさか自分が、と思いながらも痴●の卑猥な手つきにたちまちイカされてしまうはな。それからも通勤の度に続く執拗な責めと焦らしに彼女の肉体はその快感を忘れられず、痴●に弄ばれる悦びを無意識に求めていく。そして、今日も淫らな妄想を心の片隅に留めながら家を出て…。   【キャンペーン】対象作品をセール期間内に購入したお客様に特別限定映像をプレゼント！  【特典映像プレゼントについて】 こちらは特典映像プレゼント対象商品です。 特典映像は8月上旬を目安にお客様の購入済み商品（動画）に自動で追加されます。追加時に個別の通知はございません。  対象作品の購入点数に応じ、キャンペーン女優の特別限定映像（最大3種類）をプレゼント！ 対象作品を ・1点購入→特典映像1種をランダムでプレゼント ・2点購入→特典映像2種をランダムでプレゼント ・3点購入→特典映像全3種をプレゼント 特典映像はセール期間毎に異なります（全12種類）  【特典映像出演者】 第1弾：白石茉莉奈 第2弾：叶愛 第3弾：綾瀬麻衣子 第4弾：木下凛々子  【セール期間】 2021年6月11日（金）10:00 ～ 2021年7月9日（金）10:00まで  第1弾：2021年6月11日（金）10:00 ～2021年6月18日（金）10:00 第2弾：2021年6月18日（金）10:00 ～2021年6月25日（金）10:00 第3弾：2021年6月25日（金）10:00 ～2021年7月2日（金）10:00 第4弾：2021年7月2日（金）10:00 ～2021年7月9日（金）10:00  【対象作品】 タイトルに【美熟女No.1！Madonna30％OFF第4弾】の表記がついた作品。  【注意事項】 ・2021年6月11日（金）10:00 ～ 2021年7月9日（金）10:00の間に対象作品を購入されたお客様限定のキャンペーンです。 ・全てのセール期間終了後、1ヶ月以上経過しても追加されていない場合はDMMサポートまでお問い合わせください。	2017-03-16				3778
2870	SHKD-729	夫の上司に支配された家 春菜はな	shkd00729	幸せな結婚生活を送る佐伯花。そんな折、自宅の工事でホテル住まいをするという夫の上司・工藤を家に招く事に。夫の良き理解者として工藤を慕っていた花。しかし、偶然にも夫婦の営みを覗いてしまった工藤は豹変する。	2017-02-23				102
2871	RBD-819	鬼女たちの宴 ラヴァーズコンチェルト 春菜はな	rbd00819	結婚を控えた恵は、悪徳ウエディングプランナー・夕子たちの罠にはまり、結婚式の打ち合わせ中に暴漢に襲われ恋人の前で犯●れる。その後もビデオをネタに脅迫され、結婚間近の女を好むクズ男たちに何度も犯●れるのだった…。	2017-01-15			9440	102
2872	ATID-278	実録人間調教ドキュメント - 春菜はな	atid00278	人里離れた山奥に女を集め、従順になるまで調教する、通称・人間牧場。拉致されたら最後、女たちは人としての人生に終わりを告げ、奴●として生きてゆくことになる。生か死か…二者択一のサバイバルの中、女たちは…。	2016-12-17			29391	102
2873	JUFD-657	上から目線で男を挟む 淫語パイズリエステサロン 春菜はな	jufd00657	「また私のデカ乳が恋しくて来たんでしょ…ドスケベねぇ…」貴方を見下し淫語で語りかけるデカパイ痴女にチンポを挟まれる快楽をお楽しみください…。淫語ディルドパイズリ、デカパイ痴女の淫語エステ、パイズリ寸止め焦らし騎乗位SEX、短小チンポを発射させまくるパイズリFUCK、デカパイを揺らしまくる濃厚オイルFUCK。卑猥なエステサロンで上から目線の爆乳痴女に金玉のザーメンを全て発射させられる！	2016-11-03			2691	3347
2874	JUFD-643	男達が群がるむっちり肉厚パイパン妻 春菜はな	jufd00643	お待たせしました！遂に春菜はなちゃんがパイパン解禁です。元レースクイーンのはなは専業主婦になってほど良く肉がついてしまっていた。昔を思い出しレオタードを試着していた所を見られ興奮した夫にパイパンにされてしまう。剥き出しになって敏感になったパイパンマンコは常に湿り気を帯びて卑猥な香りで男達を吸い寄せ始めるのだった…。はなは無毛マンコに次々と男達の肉棒が突き刺さり絶頂しまくる日常が始まる。	2016-09-29			6047	3347
2875	AVOP-207	爆乳ノーブラ女子社員と中出し一夫多妻勤務 - 春菜はな	avop00207	祝・AVオープン2016！「スケベな女の卑猥なカラダ」にこだわるFitchがお届けするのは爆乳女優4人の豪華共演作品！社長である僕の父が倒れ平社員の僕が次期社長候補と噂された事から、爆乳の上司・同僚・部下達が僕のチンポを奪うためにブラジャーを脱ぎ捨てノーブラ姿となって誘惑してくるようになって…。どうしても玉の輿に乗りたい女のエロ過ぎる戦いが今始まります！全編主観のメガ盛り8コーナー！	2016-09-01				3347
2876	BF-472	隣の爆乳ショタ喰いお姉さん 春菜はな	bf00472	隣に住んでるはなお姉ちゃんは可愛くて、優しくて、おっぱいが大きくて！はなお姉ちゃんのカラダに興味深々の育ちざかりの子供たちに、秘密の性教育！「気持ちよくなるとココが大きくなるの…パパとママには内緒だからね！」	2016-08-05				3241
