video_id	maker_id
384	3764
385	3764
386	3764
387	3764
388	3764
389	3764
390	3764
391	3764
392	3764
393	3764
394	3764
395	1347
396	3905
397	753
398	3905
399	3564
400	3905
401	753
402	2356
403	3848
404	3967
405	4002
406	1347
407	2356
408	2275
409	3564
410	3905
411	753
412	3013
413	2275
414	1347
415	3187
416	3967
417	3031
418	3967
419	3967
420	3967
421	3583
422	1347
423	3013
424	2356
425	3967
426	3013
427	1347
428	2356
429	3564
430	2275
431	3013
432	3013
433	3013
434	3583
435	753
436	4247
437	2356
438	4301
439	1347
440	3967
441	3013
442	1347
443	753
444	2356
445	2356
446	2275
447	818
448	1347
450	3013
451	3013
452	1347
453	2275
454	2356
455	2343
456	3583
457	2153
459	3905
460	1147
461	1347
462	3013
463	2356
464	2356
465	3583
466	3905
467	2275
468	3967
469	1363
470	4414
471	3905
472	2356
473	3905
474	3905
475	2356
476	3564
477	2682
478	3013
479	3905
480	1347
481	1347
482	3036
483	2356
484	2275
485	3764
486	3764
487	4414
488	3013
489	2275
490	3564
491	3564
492	3013
493	2356
494	3905
495	3764
496	1363
497	3967
499	3693
500	3905
501	3905
502	3013
503	3564
504	1347
505	3564
506	2275
507	3347
508	753
509	2356
510	3905
511	4269
512	3764
513	4414
514	4414
515	1339
516	2356
517	2356
518	3583
519	4301
520	3967
521	3905
522	2356
523	3905
524	753
525	2356
526	3732
527	3583
528	3967
529	3967
530	4414
531	2517
532	3013
533	2356
534	3778
535	2356
536	3967
537	4414
538	2356
539	3564
540	3583
541	3967
543	4414
544	2356
545	2356
546	2356
547	3666
548	3583
549	2249
550	3013
551	2343
552	1147
553	3013
554	3564
555	4414
556	1347
557	1347
558	3013
559	2356
560	2356
562	3905
563	2356
564	3583
565	1347
566	3967
567	3905
568	3905
570	2356
571	3967
572	2343
573	3013
574	4392
575	3967
576	4414
577	1347
578	1339
579	3800
580	180
581	1347
582	3764
583	3013
584	2356
585	3216
586	2517
587	3564
588	2356
589	3666
591	4414
592	3666
593	2356
594	3905
595	3583
596	4269
597	3967
598	3764
599	3967
600	3905
601	2356
602	2275
603	3905
604	3905
605	1147
606	3583
607	180
608	180
609	3967
610	4414
611	1347
612	2356
613	2356
615	3905
616	180
617	3582
618	3967
619	3967
620	3905
621	1347
622	2356
623	2356
624	2356
625	3905
626	180
627	180
628	3764
629	3905
630	3905
631	4414
632	2356
633	3583
634	1147
635	180
636	3764
637	4414
638	4414
639	3013
640	3013
641	3905
642	2249
643	1147
644	3013
645	180
646	180
648	3800
649	3967
650	3013
651	2356
652	2700
653	3582
654	180
655	3967
656	3764
657	3967
658	4414
659	4414
660	2356
661	2356
662	3905
663	3905
664	3967
665	4414
666	753
667	3013
668	3666
669	2356
670	2249
671	3905
672	1347
673	3905
674	3013
675	3013
676	3583
677	3905
678	2737
679	2356
680	3666
681	753
682	3905
683	818
684	3905
685	180
686	3967
687	3564
688	3013
689	2275
690	2356
691	2356
692	3800
693	1147
694	180
695	4414
696	3905
697	1347
698	2356
699	2343
700	753
701	2922
702	3905
703	3905
704	1363
705	3967
706	2356
707	180
708	2356
709	3013
710	3967
711	3905
712	4414
713	4414
714	1347
715	3013
716	2356
717	2356
718	3905
719	753
720	2356
721	2356
722	2343
723	1347
724	3013
725	3583
726	3564
727	3905
728	753
729	1347
730	2356
731	3967
732	3216
733	3905
734	2356
735	382
736	3564
737	3764
738	753
739	2356
740	2249
741	3905
742	180
743	753
744	1347
745	3967
746	753
747	2356
748	3564
749	4414
750	753
751	3198
752	3317
754	3967
755	3942
757	2110
758	2138
759	2356
760	2356
761	2343
762	818
763	753
764	3905
765	3905
766	3967
767	3905
768	3013
769	2356
770	2356
771	2392
772	2674
